% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
18062	1	3	1	0	0	28	1095	1	0	1	0
18295	1	5	8	0	0	28	2196	0	1	1	0
18375	1	6	6	0	0	28	2196	0	1	1	0
18455	1	2	4	0	0	28	1095	0	1	1	0
18455	1	7	2	0	0	24	807	0	1	0	0
18462	1	7	2	0	0	24	807	1	0	1	0
18535	1	4	5	0	0	28	2196	0	1	1	0
18570	1	3	1	0	0	28	2196	0	1	1	0
18775	1	5	8	0	0	28	2196	0	1	1	0
18855	1	6	6	0	0	24	1620	0	1	1	0
18935	1	2	4	0	0	28	1095	0	1	1	0
18935	1	7	2	0	0	28	1095	0	1	1	0
19015	1	4	5	0	0	28	2196	0	1	1	0
19050	1	3	1	0	0	28	2196	0	1	1	0
19255	1	5	8	0	0	28	2196	0	1	1	0
19335	1	6	6	0	0	28	2196	0	1	1	0
19415	1	2	4	0	0	28	1095	0	1	1	0
19415	1	7	2	0	0	28	1095	0	1	1	0
19495	1	4	5	0	0	28	2196	0	1	1	0
19735	1	3	1	0	0	18	967	0	1	1	0
19755	1	5	8	0	0	28	2196	0	1	1	0
19815	1	6	6	0	0	28	2196	0	1	1	0
19895	1	2	4	0	0	28	1095	0	1	1	0
19895	1	7	2	0	0	28	1095	0	1	1	0
19975	1	3	1	0	0	28	1095	0	1	1	0
19975	1	4	5	0	0	28	1095	0	1	1	0
20215	1	5	8	0	0	28	2196	0	1	1	0
20295	1	6	6	0	0	22	1383	0	1	1	0
20375	1	2	4	0	0	28	1095	0	1	1	0
20375	1	7	2	0	0	28	1095	0	1	0	0
20382	1	7	2	0	0	28	1095	1	0	1	0
20455	1	4	5	0	0	28	2196	0	1	1	0
20530	1	3	1	0	0	26	1836	0	1	1	0
20695	1	5	8	0	0	24	1620	0	1	1	0
20775	1	6	6	0	0	28	2196	0	1	1	0
20855	1	2	4	0	0	24	807	0	1	1	0
20855	1	7	2	0	0	28	1095	0	1	0	0
20862	1	7	2	0	0	28	1095	1	0	1	0
20935	1	3	1	0	0	28	1095	0	1	1	0
20935	1	4	5	0	0	28	1095	0	1	1	0
21175	1	5	8	0	0	28	2196	0	1	1	0
21255	1	6	6	0	0	18	967	0	1	1	0
21335	1	2	4	0	0	28	1095	0	1	1	0
21335	1	7	2	0	0	28	1095	0	1	1	0
21415	1	3	1	0	0	18	485	0	1	1	0
21415	1	4	5	0	0	28	1095	0	1	1	0
21655	1	5	8	0	0	28	2196	0	1	1	0
21735	1	6	6	0	0	28	2196	0	1	1	0
21815	1	2	4	0	0	28	1095	0	1	1	0
21815	1	7	2	0	0	28	1095	0	1	1	0
21895	1	4	5	0	0	28	2196	0	1	1	0
21970	1	3	1	0	0	28	2196	0	1	1	0
22142	1	5	8	0	0	28	2196	0	1	1	0
22215	1	6	6	0	0	28	2196	0	1	1	0
22295	1	2	4	0	0	28	1095	0	1	1	0
22295	1	7	2	0	0	22	693	0	1	0	0
22302	1	7	2	0	0	22	693	1	0	1	0
22375	1	4	5	0	0	28	2196	0	1	1	0
