% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
14.226	1	3	1423	7	1	6	325	0
14.446	1	5	1445	7	8	28	2292	0
14.526	1	6	1453	7	6	22	693	0
14.526	1	1	1453	7	7	8	209	0
14.606	1	7	1461	7	2	12	201	0
14.606	1	2	1461	7	4	26	621	0
14.606	1	4	1461	7	5	26	621	0
14.626	1	7	1463	7	2	12	621	0
14.686	1	3	1469	7	1	12	621	0
14.706	1	3	1471	7	1	12	621	0
14.926	1	5	1493	7	8	28	2292	0
15.006	1	6	1501	7	6	12	301	0
15.006	1	1	1501	7	7	18	549	0
15.026	1	6	1503	7	6	12	621	0
15.086	1	7	1509	7	2	28	749	0
15.086	1	2	1509	7	4	8	137	0
15.086	1	4	1509	7	5	28	749	0
15.166	1	3	1517	7	1	4	225	0
15.406	1	5	1541	7	8	18	1143	0
15.486	1	6	1549	7	6	28	1095	0
15.486	1	1	1549	7	7	20	645	0
15.566	1	7	1557	7	2	28	749	0
15.566	1	2	1557	7	4	28	749	0
15.566	1	4	1557	7	5	28	749	0
15.646	1	3	1565	7	1	26	1908	0
15.862	1	1	1587	3	7	10	549	0
15.886	1	5	1589	7	8	24	1692	0
15.966	1	6	1597	7	6	26	1908	0
16.046	1	7	1605	7	2	28	1095	0
16.046	1	2	1605	7	4	22	693	0
16.126	1	3	1613	7	1	0	85	0
16.366	1	5	1637	7	8	24	1692	0
16.446	1	6	1645	7	6	28	2292	0
16.526	1	7	1653	7	2	26	903	0
16.526	1	2	1653	7	4	28	1095	0
16.606	1	4	1661	7	5	28	1095	0
16.841	1	3	1685	2	1	0	85	0
16.846	1	5	1685	7	8	28	1095	0
16.846	1	3	1685	7	1	6	153	0
16.926	1	6	1693	7	6	22	1431	0
17.006	1	7	1701	7	2	6	153	0
17.006	1	2	1701	7	4	28	1095	0
17.086	1	3	1709	7	1	0	41	0
17.086	1	4	1709	7	5	24	807	0
17.326	1	5	1733	7	8	26	903	0
17.401	1	3	1741	2	1	4	225	0
17.406	1	6	1741	7	6	26	1908	0
17.486	1	7	1749	7	2	20	645	0
17.486	1	2	1749	7	4	28	1095	0
17.506	1	7	1751	7	2	14	807	0
17.566	1	4	1757	7	5	26	903	0
17.566	1	3	1757	7	1	4	105	0
17.806	1	5	1781	7	8	28	2292	0
17.813	1	5	1782	4	8	28	2292	0
17.826	1	5	1783	7	8	8	437	0
17.886	1	6	1789	7	6	16	967	0
17.966	1	7	1797	7	2	28	1095	0
17.966	1	2	1797	7	4	20	645	0
18.046	1	3	1805	7	1	0	41	0
18.046	1	4	1805	7	5	28	1095	0
18.066	1	3	1807	7	1	0	85	0
18.286	1	5	1829	7	8	22	1431	0
18.366	1	6	1837	7	6	20	1335	0
18.446	1	7	1845	7	2	28	1095	0
18.446	1	2	1845	7	4	28	1095	0
18.466	1	7	1847	7	2	28	2292	0
18.526	1	4	1853	7	5	28	1095	0
18.561	1	3	1857	2	1	2	137	0
18.566	1	3	1857	7	1	2	137	0
18.766	1	5	1877	7	8	24	1692	0
18.846	1	6	1885	7	6	8	437	0
18.926	1	7	1893	7	2	28	1095	0
18.926	1	2	1893	7	4	28	1095	0
19.006	1	4	1901	7	5	20	645	0
19.041	1	3	1905	2	1	0	85	0
19.046	1	3	1905	7	1	0	85	0
19.246	1	5	1925	7	8	14	807	0
19.326	1	6	1933	7	6	6	325	0
19.406	1	7	1941	7	2	22	693	0
19.406	1	2	1941	7	4	24	807	0
19.486	1	4	1949	7	5	28	1095	0
19.726	1	5	1973	7	8	28	1095	0
19.726	1	3	1973	7	1	2	65	0
19.746	1	5	1975	7	8	14	807	0
19.806	1	6	1981	7	6	28	2292	0
19.886	1	7	1989	7	2	6	153	0
19.886	1	2	1989	7	4	28	1095	0
19.966	1	3	1997	7	1	0	41	0
19.966	1	4	1997	7	5	20	645	0
20.206	1	5	2021	7	8	28	2292	0
20.286	1	6	2029	7	6	28	2292	0
20.366	1	7	2037	7	2	24	807	0
20.366	1	2	2037	7	4	20	645	0
20.386	1	7	2039	7	2	24	1692	0
20.446	1	4	2045	7	5	6	153	0
20.521	1	3	2053	2	1	0	85	0
20.526	1	3	2053	7	1	0	85	0
20.686	1	5	2069	7	8	14	807	0
20.766	1	6	2077	7	6	16	967	0
20.846	1	7	2085	7	2	24	807	0
20.846	1	2	2085	7	4	26	903	0
20.866	1	7	2087	7	2	24	1692	0
20.926	1	4	2093	7	5	28	1095	0
20.926	1	3	2093	7	1	6	153	0
21.166	1	5	2117	7	8	24	1692	0
21.246	1	6	2125	7	6	20	1335	0
21.326	1	7	2133	7	2	26	903	0
21.326	1	2	2133	7	4	26	903	0
21.406	1	3	2141	7	1	4	105	0
21.406	1	4	2141	7	5	26	903	0
21.646	1	5	2165	7	8	28	2292	0
21.726	1	6	2173	7	6	20	1335	0
21.806	1	7	2181	7	2	26	903	0
21.806	1	2	2181	7	4	28	1095	0
21.886	1	4	2189	7	5	28	1095	0
21.961	1	3	2197	2	1	0	85	0
21.966	1	3	2197	7	1	0	85	0
22.126	1	5	2213	7	8	24	1692	0
22.133	1	5	2214	4	8	24	1692	0
22.146	1	5	2215	7	8	14	807	0
22.206	1	6	2221	7	6	8	437	0
22.286	1	7	2229	7	2	16	453	0
22.286	1	2	2229	7	4	24	807	0
22.306	1	7	2231	7	2	16	967	0
22.366	1	4	2237	7	5	28	1095	0
22.401	1	3	2241	2	1	2	137	0
22.406	1	3	2241	7	1	2	137	0
22.606	1	5	2261	7	8	22	1431	0
22.686	1	6	2269	7	6	14	807	0
22.766	1	7	2277	7	2	18	549	0
22.766	1	2	2277	7	4	22	693	0
22.786	1	2	2279	7	4	14	807	0
22.846	1	4	2285	7	5	14	389	0
22.921	1	3	2293	2	1	0	85	0
22.926	1	3	2293	7	1	0	85	0
23.086	1	5	2309	7	8	8	437	0
23.166	1	6	2317	7	6	18	1143	0
23.246	1	7	2325	7	2	28	1095	0
23.246	1	2	2325	7	4	28	1095	0
23.326	1	4	2333	7	5	24	807	0
23.361	1	3	2337	2	1	2	137	0
23.366	1	3	2337	7	1	2	137	0
23.566	1	5	2357	7	8	12	621	0
23.646	1	6	2365	7	6	20	1335	0
23.726	1	7	2373	7	2	24	807	0
23.726	1	2	2373	7	4	28	1095	0
23.806	1	4	2381	7	5	28	1095	0
24.041	1	3	2405	2	1	12	621	0
24.046	1	5	2405	7	8	20	645	0
24.046	1	3	2405	7	1	14	389	0
24.126	1	6	2413	7	6	18	1143	0
24.146	1	6	2415	7	6	18	1143	0
24.206	1	7	2421	7	2	28	1095	0
24.206	1	2	2421	7	4	14	389	0
24.286	1	3	2429	7	1	2	65	0
24.286	1	4	2429	7	5	24	807	0
24.526	1	5	2453	7	8	28	2292	0
24.606	1	6	2461	7	6	20	1335	0
24.686	1	7	2469	7	2	22	693	0
24.686	1	2	2469	7	4	18	549	0
24.766	1	4	2477	7	5	28	1095	0
24.841	1	3	2485	2	1	4	225	0
24.846	1	3	2485	7	1	4	225	0
24.866	1	3	2487	7	1	4	225	0
25.006	1	5	2501	7	8	24	1692	0
25.086	1	6	2509	7	6	6	325	0
25.166	1	7	2517	7	2	28	1095	0
25.166	1	2	2517	7	4	26	903	0
25.246	1	3	2525	7	1	6	153	0
25.246	1	4	2525	7	5	24	807	0
25.486	1	5	2549	7	8	22	1431	0
25.566	1	6	2557	7	6	8	437	0
25.646	1	7	2565	7	2	28	1095	0
25.646	1	2	2565	7	4	22	693	0
25.726	1	3	2573	7	1	12	301	0
25.726	1	4	2573	7	5	28	1095	0
25.966	1	5	2597	7	8	28	2292	0
26.046	1	6	2605	7	6	24	1692	0
26.126	1	7	2613	7	2	28	1095	0
26.126	1	2	2613	7	4	26	903	0
26.206	1	3	2621	7	1	0	41	0
26.206	1	4	2621	7	5	28	1095	0
26.446	1	5	2645	7	8	18	1143	0
26.526	1	6	2653	7	6	14	807	0
26.606	1	7	2661	7	2	10	261	0
26.606	1	2	2661	7	4	0	41	0
26.686	1	3	2669	7	1	6	153	0
26.686	1	4	2669	7	5	20	645	0
26.706	1	4	2671	7	5	20	1335	0
26.926	1	5	2693	7	8	26	1908	0
27.006	1	6	2701	7	6	22	1431	0
27.086	1	7	2709	7	2	18	549	0
27.086	1	2	2709	7	4	24	807	0
27.166	1	4	2717	7	5	6	153	0
27.406	1	5	2741	7	8	24	807	0
27.486	1	6	2749	7	6	14	389	0
27.521	1	3	2753	2	1	0	85	0
27.526	1	3	2753	7	1	0	85	0
27.566	1	7	2757	7	2	22	693	0
27.566	1	2	2757	7	4	10	261	0
27.586	1	7	2759	7	2	22	1431	0
27.646	1	4	2765	7	5	22	693	0
27.881	1	3	2789	2	1	0	85	0
27.886	1	5	2789	7	8	20	645	0
27.886	1	3	2789	7	1	0	41	0
27.966	1	6	2797	7	6	20	1335	0
28.046	1	7	2805	7	2	28	1095	0
28.046	1	2	2805	7	4	22	693	0
28.126	1	4	2813	7	5	28	1095	0
28.161	1	3	2817	2	1	4	225	0
28.166	1	3	2817	7	1	4	225	0
28.366	1	5	2837	7	8	26	1908	0
28.373	1	5	2838	4	8	26	1908	0
28.386	1	5	2839	7	8	10	549	0
28.446	1	6	2845	7	6	18	1143	0
28.526	1	7	2853	7	2	26	903	0
28.526	1	2	2853	7	4	26	903	0
28.546	1	2	2855	7	4	24	1692	0
28.606	1	4	2861	7	5	18	549	0
28.641	1	3	2865	2	1	4	225	0
28.646	1	3	2865	7	1	4	225	0
28.846	1	5	2885	7	8	16	967	0
28.926	1	6	2893	7	6	28	2292	0
29.006	1	7	2901	7	2	28	1095	0
29.006	1	2	2901	7	4	8	209	0
29.086	1	3	2909	7	1	2	65	0
29.086	1	4	2909	7	5	20	645	0
29.326	1	5	2933	7	8	20	1335	0
29.406	1	6	2941	7	6	14	807	0
29.426	1	6	2943	7	6	14	807	0
29.486	1	7	2949	7	2	6	153	0
29.486	1	2	2949	7	4	0	41	0
29.566	1	4	2957	7	5	26	903	0
29.801	1	3	2981	2	1	0	85	0
29.806	1	5	2981	7	8	16	453	0
29.806	1	3	2981	7	1	2	65	0
29.886	1	6	2989	7	6	26	1908	0
29.906	1	6	2991	7	6	26	1908	0
29.914	1	6	2992	5	6	26	1908	0
29.926	1	6	2993	7	6	12	621	0
29.966	1	7	2997	7	2	14	389	0
29.966	1	2	2997	7	4	8	209	0
