% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
17.093	1	3	1710	4	1	28	1095	0	0	0
17.1	1	3	1711	1	1	28	1095	0	0	0
17.333	1	5	1734	4	8	28	2196	0	0	0
17.413	1	6	1742	4	6	28	2196	0	0	0
17.493	1	7	1750	4	2	28	1095	0	0	0
17.493	1	2	1750	4	4	26	903	0	0	0
17.5	1	7	1751	1	2	28	1095	0	0	0
17.573	1	4	1758	4	5	28	1095	0	0	0
17.573	1	3	1758	4	1	28	1095	0	0	0
17.82	1	5	1783	1	8	22	1383	0	0	0
17.893	1	6	1790	4	6	28	2196	0	0	0
17.973	1	7	1798	4	2	28	1095	0	0	0
17.973	1	2	1798	4	4	22	693	0	0	0
18.053	1	4	1806	4	5	28	1095	0	0	0
18.053	1	3	1806	4	1	28	1095	0	0	0
18.06	1	3	1807	1	1	28	1095	0	0	0
18.293	1	5	1830	4	8	28	2196	0	0	0
18.373	1	6	1838	4	6	28	2196	0	0	0
18.453	1	7	1846	4	2	24	807	0	0	0
18.453	1	2	1846	4	4	28	1095	0	0	0
18.46	1	7	1847	1	2	24	807	0	0	0
18.533	1	4	1854	4	5	28	2196	0	0	0
18.568	1	3	1857	9	1	28	2196	0	0	0
18.773	1	5	1878	4	8	28	2196	0	0	0
18.853	1	6	1886	4	6	24	1620	0	0	0
18.933	1	7	1894	4	2	28	1095	0	0	0
18.933	1	2	1894	4	4	28	1095	0	0	0
19.013	1	4	1902	4	5	28	2196	0	0	0
19.048	1	3	1905	9	1	28	2196	0	0	0
19.253	1	5	1926	4	8	28	2196	0	0	0
19.333	1	6	1934	4	6	28	2196	0	0	0
19.413	1	7	1942	4	2	28	1095	0	0	0
19.413	1	2	1942	4	4	28	1095	0	0	0
19.493	1	4	1950	4	5	28	2196	0	0	0
19.733	1	3	1974	4	1	18	967	0	0	0
19.753	1	5	1976	4	8	28	2196	0	0	0
19.813	1	6	1982	4	6	28	2196	0	0	0
19.893	1	7	1990	4	2	28	1095	0	0	0
19.893	1	2	1990	4	4	28	1095	0	0	0
19.973	1	4	1998	4	5	28	1095	0	0	0
19.973	1	3	1998	4	1	28	1095	0	0	0
20.213	1	5	2022	4	8	28	2196	0	0	0
20.293	1	6	2030	4	6	22	1383	0	0	0
20.373	1	7	2038	4	2	28	1095	0	0	0
20.373	1	2	2038	4	4	28	1095	0	0	0
20.38	1	7	2039	1	2	28	1095	0	0	0
20.453	1	4	2046	4	5	28	2196	0	0	0
20.528	1	3	2053	9	1	26	1836	0	0	0
20.693	1	5	2070	4	8	24	1620	0	0	0
20.773	1	6	2078	4	6	28	2196	0	0	0
20.853	1	7	2086	4	2	28	1095	0	0	0
20.853	1	2	2086	4	4	24	807	0	0	0
20.86	1	7	2087	1	2	28	1095	0	0	0
20.933	1	4	2094	4	5	28	1095	0	0	0
20.933	1	3	2094	4	1	28	1095	0	0	0
21.173	1	5	2118	4	8	28	2196	0	0	0
21.253	1	6	2126	4	6	18	967	0	0	0
21.333	1	7	2134	4	2	28	1095	0	0	0
21.333	1	2	2134	4	4	28	1095	0	0	0
21.413	1	4	2142	4	5	28	1095	0	0	0
21.413	1	3	2142	4	1	18	485	0	0	0
21.653	1	5	2166	4	8	28	2196	0	0	0
21.733	1	6	2174	4	6	28	2196	0	0	0
21.813	1	7	2182	4	2	28	1095	0	0	0
21.813	1	2	2182	4	4	28	1095	0	0	0
21.893	1	4	2190	4	5	28	2196	0	0	0
21.968	1	3	2197	9	1	28	2196	0	0	0
22.14	1	5	2215	1	8	28	2196	0	0	0
22.213	1	6	2222	4	6	28	2196	0	0	0
22.293	1	7	2230	4	2	22	693	0	0	0
22.293	1	2	2230	4	4	28	1095	0	0	0
22.3	1	7	2231	1	2	22	693	0	0	0
22.373	1	4	2238	4	5	28	2196	0	0	0
22.408	1	3	2241	9	1	28	2196	0	0	0
22.613	1	5	2262	4	8	28	2196	0	0	0
