,Unnamed: 0,input_data,output_data,received_data_real,received_data_imag,transmitted_data_real,transmitted_data_imag,encoded_data_real,encoded_data_imag,decoded_data_real,decoded_data_imag
1378,1378,229,225,0.8330445885658264,-0.4392816126346588,-0.13255932927131653,-0.32246729731559753,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
1380,1380,228,225,-0.024688392877578732,0.7557058334350586,-0.10419926792383194,-0.0076120379380881795,1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
1382,1382,216,225,-0.5871293544769287,1.5654213428497314,-0.3322037160396576,0.011219024658203123,-1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
1405,1405,102,95,0.047843724489212036,0.06073154509067536,0.8485280871391296,-0.04142136499285698,-1.4142135381698608,1.4142135381698608,1.4142135381698608,-1.4142135381698608
1415,1415,48,57,-0.5529960989952087,0.2066245973110199,-1.2766506671905518,-0.2475874423980713,-1.4142135381698608,1.4142135381698608,-1.4142135381698608,-1.4142135381698608
1436,1436,119,111,-0.2481565773487091,-0.0988701730966568,-0.1538543999195099,0.2331628352403641,1.4142135381698608,1.4142135381698608,1.4142135381698608,-1.4142135381698608
1437,1437,119,111,-0.01731935515999794,1.1237328052520752,-0.1929806023836136,-0.24650755524635315,1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
1482,1482,165,158,0.27027642726898193,-0.9990088939666748,0.22468312084674835,-0.311392217874527,1.4142135381698608,1.4142135381698608,-1.4142135381698608,1.4142135381698608
1493,1493,44,46,0.4912993311882019,-0.7610803842544556,-1.1699334383010864,-0.1733836680650711,1.4142135381698608,1.4142135381698608,-1.4142135381698608,-1.4142135381698608
1500,1500,205,204,-0.2659614980220795,0.01091049611568451,-0.7601979970932007,-0.2181359976530075,-1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
1506,1506,194,204,-1.0617550611495972,-0.3952800035476685,0.209405854344368,0.07688559591770172,1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
1515,1515,208,204,-0.03087010234594345,0.38466531038284296,0.8052915930747986,0.22099606692790985,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
1517,1517,205,204,-0.8870986700057983,1.8391125202178955,0.044745005667209625,0.4302487373352051,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
1526,1526,134,127,0.4113464951515198,0.7134690284729004,-0.292521208524704,0.3444255292415619,1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
