% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0542143	2	5	3	5.05985e-11	110613	0
0.0552143	1	1	2	1.71311e-10	373661	0
0.0552143	1	2	1	3.74605e-10	803490	0
0.0552143	2	3	2	1.3539e-10	281091	0
0.0552143	2	4	1	2.34881e-10	511934	0
0.0552143	2	5	3	5.07339e-11	110906	0
0.0562143	1	1	2	1.71024e-10	372978	0
0.0562143	1	2	1	3.78315e-10	811831	0
0.0562143	2	3	2	1.40983e-10	293360	0
0.0562143	2	4	1	2.3701e-10	516233	0
0.0562143	2	5	3	5.08761e-11	111214	0
0.0572143	1	1	2	1.70673e-10	372159	0
0.0572143	1	2	1	3.81468e-10	818985	0
0.0572143	2	3	2	1.46775e-10	306089	0
0.0572143	2	4	1	2.38931e-10	520058	0
0.0572143	2	5	3	5.10467e-11	111585	0
0.0582143	1	1	2	1.70512e-10	371756	0
0.0582143	1	2	1	3.84607e-10	826110	0
0.0582143	2	3	2	1.52785e-10	319306	0
0.0582143	2	4	1	2.40542e-10	523187	0
0.0582143	2	5	3	5.12136e-11	111948	0
0.0592143	1	1	2	1.70268e-10	371174	0
0.0592143	1	2	1	3.87273e-10	832224	0
0.0592143	2	3	2	1.58989e-10	332978	0
0.0592143	2	4	1	2.41811e-10	525557	0
0.0592143	2	5	3	5.1423e-11	112404	0
0.0602143	1	1	2	1.70182e-10	370938	0
0.0602143	1	2	1	3.89801e-10	838043	0
0.0602143	2	3	2	1.65421e-10	347154	0
0.0602143	2	4	1	2.42847e-10	527399	0
0.0602143	2	5	3	5.16187e-11	112831	0
0.0612143	1	1	2	1.7004e-10	370585	0
0.0612143	1	2	1	3.91946e-10	843046	0
0.0612143	2	3	2	1.72039e-10	361770	0
0.0612143	2	4	1	2.43409e-10	528198	0
0.0612143	2	5	3	5.18693e-11	113379	0
0.0622143	1	1	2	1.70002e-10	370460	0
0.0622143	1	2	1	3.9383e-10	847489	0
0.0622143	2	3	2	1.78889e-10	376900	0
0.0622143	2	4	1	2.43826e-10	528665	0
0.0622143	2	5	3	5.2099e-11	113881	0
0.0632143	1	1	2	1.69948e-10	370303	0
0.0632143	1	2	1	3.9543e-10	851325	0
0.0632143	2	3	2	1.85925e-10	392465	0
0.0632143	2	4	1	2.43639e-10	527811	0
0.0632143	2	5	3	5.23837e-11	114504	0
0.0642143	1	1	2	1.69932e-10	370233	0
0.0642143	1	2	1	3.96647e-10	854338	0
0.0642143	2	3	2	1.93189e-10	408536	0
0.0642143	2	4	1	2.43406e-10	526838	0
0.0642143	2	5	3	5.26617e-11	115112	0
0.0652143	1	1	2	1.69923e-10	370181	0
0.0652143	1	2	1	3.97684e-10	856966	0
0.0652143	2	3	2	2.00643e-10	425045	0
0.0652143	2	4	1	2.42446e-10	524282	0
0.0652143	2	5	3	5.29841e-11	115818	0
0.0662143	1	1	2	1.69888e-10	370076	0
0.0662143	1	2	1	3.98251e-10	858584	0
0.0662143	2	3	2	2.08313e-10	442037	0
0.0662143	2	4	1	2.41451e-10	521636	0
0.0662143	2	5	3	5.33134e-11	116540	0
0.0672143	1	1	2	1.69894e-10	370061	0
0.0672143	1	2	1	3.98758e-10	860072	0
0.0672143	2	3	2	2.16179e-10	459473	0
0.0672143	2	4	1	2.39802e-10	517567	0
0.0672143	2	5	3	5.36767e-11	117337	0
0.0682143	1	1	2	1.69808e-10	369851	0
0.0682143	1	2	1	3.98642e-10	860225	0
0.0682143	2	3	2	2.24243e-10	477358	0
0.0682143	2	4	1	2.38025e-10	513210	0
0.0682143	2	5	3	5.40604e-11	118179	0
0.0692143	1	1	2	1.69798e-10	369808	0
0.0692143	1	2	1	3.98545e-10	860411	0
0.0692143	2	3	2	2.3251e-10	495696	0
0.0692143	2	4	1	2.3571e-10	507685	0
0.0692143	2	5	3	5.44673e-11	119072	0
0.0702143	1	1	2	1.6963e-10	369424	0
0.0702143	1	2	1	3.97759e-10	859121	0
0.0702143	2	3	2	2.4095e-10	514427	0
0.0702143	2	4	1	2.33164e-10	501652	0
0.0702143	2	5	3	5.49079e-11	120039	0
0.0712143	1	1	2	1.69574e-10	369285	0
0.0712143	1	2	1	3.96968e-10	857813	0
0.0712143	2	3	2	2.49601e-10	533626	0
0.0712143	2	4	1	2.30204e-10	494719	0
0.0712143	2	5	3	5.5361e-11	121034	0
0.0722143	1	1	2	1.69296e-10	368665	0
0.0722143	1	2	1	3.95608e-10	855282	0
0.0722143	2	3	2	2.58395e-10	553152	0
0.0722143	2	4	1	2.26944e-10	487136	0
0.0722143	2	5	3	5.58606e-11	122131	0
0.0732143	1	1	2	1.69116e-10	368262	0
0.0732143	1	2	1	3.94132e-10	852498	0
0.0732143	2	3	2	2.67412e-10	573171	0
0.0732143	2	4	1	2.23419e-10	478976	0
0.0732143	2	5	3	5.63618e-11	123232	0
0.0742143	1	1	2	1.68752e-10	367456	0
0.0742143	1	2	1	3.9221e-10	848750	0
0.0742143	2	3	2	2.76533e-10	593428	0
0.0742143	2	4	1	2.19485e-10	469935	0
0.0742143	2	5	3	5.69224e-11	124464	0
0.0752143	1	1	2	1.68424e-10	366731	0
0.0752143	1	2	1	3.90069e-10	844527	0
0.0752143	2	3	2	2.85887e-10	614197	0
0.0752143	2	4	1	2.15388e-10	460539	0
0.0752143	2	5	3	5.74753e-11	125679	0
