% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
4.042	2	3	2	8.00537	0
4.043	2	5	3	4836.17	0
4.081	1	2	1	5.19063	0
4.081	2	4	1	0.323056	0
4.082	1	1	2	17.936	0
4.082	2	3	2	3.9438	0
4.083	2	5	3	3122.99	0
4.121	1	2	1	34.3456	0
4.121	2	4	1	2.55029	0
4.122	1	1	2	22.5575	0
4.122	2	3	2	46.333	0
4.123	2	5	3	845.871	0
4.161	1	2	1	10.4041	0
4.161	2	4	1	2.26493	0
4.162	1	1	2	55.705	0
4.162	2	3	2	25.4731	0
4.163	2	5	3	7284.89	0
4.201	1	2	1	29.6326	0
4.201	2	4	1	5.8076	0
4.202	1	1	2	130.144	0
4.202	2	3	2	3.1389	0
4.203	2	5	3	8909.22	0
4.241	1	2	1	6.40737	0
4.241	2	4	1	3.77668	0
4.242	1	1	2	210.175	0
4.242	2	3	2	2.73624	0
4.243	2	5	3	5569.48	0
4.281	1	2	1	3.01126	0
4.281	2	4	1	26.9093	0
4.282	1	1	2	4.38568	0
4.282	2	3	2	22.9717	0
4.283	2	5	3	9248.51	0
4.321	1	2	1	6.14122	0
4.321	2	4	1	20.0255	0
4.322	1	1	2	14.3982	0
4.322	2	3	2	118.208	0
4.323	2	5	3	7361.45	0
4.361	1	2	1	13.7237	0
4.361	2	4	1	0.489889	0
4.362	1	1	2	1.0015	0
4.362	2	3	2	67.6807	0
4.363	2	5	3	15060.6	0
4.401	1	2	1	11.0401	0
4.401	2	4	1	0.421249	0
4.402	1	1	2	0.935848	0
4.402	2	3	2	680.589	0
4.403	2	5	3	17705	0
4.441	1	2	1	443.388	0
4.441	2	4	1	3.81044	0
4.442	1	1	2	1.78679	0
4.442	2	3	2	14.9169	0
4.443	2	5	3	2731.63	0
4.481	1	2	1	43.4991	0
4.481	2	4	1	0.506754	0
4.482	1	1	2	1.55194	0
4.482	2	3	2	128.007	0
4.483	2	5	3	5098.38	0
4.521	1	2	1	27.1385	0
4.521	2	4	1	4.37559	0
4.522	1	1	2	4.36224	0
4.522	2	3	2	4.2187	0
4.523	2	5	3	3766.49	0
4.561	1	2	1	12.2037	0
4.561	2	4	1	9.0761	0
4.562	1	1	2	3.11455	0
4.562	2	3	2	5.757	0
4.563	2	5	3	3892.23	0
4.601	1	2	1	43.9511	0
4.601	2	4	1	1.96819	0
4.602	1	1	2	15.7741	0
4.602	2	3	2	14.8106	0
4.603	2	5	3	4012.29	0
4.641	1	2	1	3.06318	0
4.641	2	4	1	103.86	0
4.642	1	1	2	18.2717	0
4.642	2	3	2	38.4488	0
4.643	2	5	3	14291.3	0
4.681	1	2	1	8.22494	0
4.681	2	4	1	52.1203	0
4.682	1	1	2	14.1876	0
4.682	2	3	2	3.48132	0
4.683	2	5	3	7295	0
4.721	1	2	1	1.50055	0
4.721	2	4	1	14.8679	0
4.722	1	1	2	185.057	0
4.722	2	3	2	0.590725	0
4.723	2	5	3	27287.5	0
4.761	1	2	1	1.02346	0
4.761	2	4	1	87.8351	0
4.762	1	1	2	78.857	0
4.762	2	3	2	8.50468	0
4.763	2	5	3	5408.27	0
4.801	1	2	1	25.5644	0
4.801	2	4	1	1.70507	0
4.802	1	1	2	42.659	0
4.802	2	3	2	2.50366	0
4.803	2	5	3	2466.79	0
4.841	1	2	1	23.0113	0
4.841	2	4	1	2.57741	0
4.842	1	1	2	36.7987	0
4.842	2	3	2	1.54574	0
4.843	2	5	3	7505.64	0
4.881	1	2	1	6.57104	0
4.881	2	4	1	7.07672	0
4.882	1	1	2	3.41613	0
4.882	2	3	2	45.8049	0
4.883	2	5	3	3421.3	0
4.921	1	2	1	17.6052	0
4.921	2	4	1	0.295083	0
4.922	1	1	2	3.40308	0
4.922	2	3	2	74.9797	0
4.923	2	5	3	5663.91	0
4.961	1	2	1	4.83738	0
4.961	2	4	1	0.699092	0
4.962	1	1	2	0.538561	0
4.962	2	3	2	260.739	0
4.963	2	5	3	2458.25	0
